1780,AK Gustavus 2 NE,20180615,,,,,,,,,-243.9400000000,0.2329700000,0.0000110150,
1780,AK Gustavus 2 NE,20190722,-243.87,0.2327500000,0.0000111010,,,,,,,,,
1791,AK Ivotuk 1 NNE,20140619,-243.49,0.2321500000,0.0000112920,,-242.9000000000,0.2310800000,0.0000118170,,-243.6300000000,0.2324700000,0.0000111400,
1791,AK Ivotuk 1 NNE,20150615,-243.7,0.2324200000,0.0000112790,,,,,,,,,
1791,AK Ivotuk 1 NNE,20160628,,,,,-245.3600000000,0.2338200000,0.0000108820,,,,,
1791,AK Ivotuk 1 NNE,20170818,,,,,,,,,-243.5200000000,0.2321000000,0.0000116020,
1791,AK Ivotuk 1 NNE,20180811,-243.59,0.2323000000,0.0000113490,,,,,,,,,
1791,AK Ivotuk 1 NNE,20190616,,,,,-245.4400000000,0.2322400000,0.0000112840,,,,,
1753,AK Kenai 29 ENE,20100830,-243.63,0.2325400000,0.0000110760,,-243.5100000000,0.2322800000,0.0000111880,,-243.3200000000,0.2320800000,0.0000112610,
1753,AK Kenai 29 ENE,20110621,-243.59,0.2325300000,0.0000110280,,,,,,,,,
1753,AK Kenai 29 ENE,20120805,,,,,-243.7100000000,0.2325400000,0.0000112110,,,,,
1753,AK Kenai 29 ENE,20130612,,,,,,,,,-243.6100000000,0.2321000000,0.0000114340,
1753,AK Kenai 29 ENE,20140521,-243.72,0.2327300000,0.0000109670,,,,,,,,,
1753,AK Kenai 29 ENE,20150715,,,,,-243.4700000000,0.2322700000,0.0000112070,,,,,
1753,AK Kenai 29 ENE,20160718,,,,,,,,,-243.6800000000,0.2325500000,0.0000111730,
1753,AK Kenai 29 ENE,20170713,-244.32,0.2336000000,0.0000107040,,,,,,,,,
1753,AK Kenai 29 ENE,20180723,,,,,-244.7900000000,0.2346200000,0.0000102100,,,,,
1753,AK Kenai 29 ENE,20191003,,,,,,,,,-243.5100000000,0.2322600000,0.0000112890,
1788,AK King Salmon 42 SE,20120817,-243.78,0.2326400000,0.0000111570,,-243.5700000000,0.2322900000,0.0000112800,,-243.7300000000,0.2325500000,0.0000111580,
1788,AK King Salmon 42 SE,20130619,-243.4,0.2320100000,0.0000113540,,,,,,,,,
1788,AK King Salmon 42 SE,20140621,,,,,-243.6400000000,,0.0000113350,,,,,
1788,AK King Salmon 42 SE,20150713,,,,,-243.9400000000,0.2330400000,0.0000109490,,-243.4200000000,0.2320400000,0.0000114280,
1788,AK King Salmon 42 SE,20160903,,,,,,,,,-243.7900000000,0.2327100000,0.0000110950,
1788,AK King Salmon 42 SE,20170721,-242.69,0.2299200000,0.0000127000,,,,,,,,,
1788,AK King Salmon 42 SE,20180516,,,,,-243.4400000000,0.2322300000,0.0000112510,,,,,
1788,AK King Salmon 42 SE,20190825,,,,,,,,,-243.6300000000,0.2325300000,0.0000111060,
1787,AK Metlakatla 6 S,20120726,-244.01,0.2330500000,0.0000110130,,-243.5100000000,0.2321200000,0.0000114020,,-243.3700000000,0.2318400000,0.0000115930,
1787,AK Metlakatla 6 S,20130617,-243.47,0.2321700000,0.0000112570,,,,,,,,,
1787,AK Metlakatla 6 S,20140805,,,,,-243.8000000000,0.2322900000,0.0000114160,,,,,
1787,AK Metlakatla 6 S,20150623,,,,,,,,,-243.5800000000,0.2323000000,0.0000112770,
1787,AK Metlakatla 6 S,20170620,-243.69,0.2325200000,0.0000112210,,,,,,,,,
1787,AK Metlakatla 6 S,20180608,,,,,-243.3700000000,0.2318000000,0.0000115680,,,,,
1787,AK Metlakatla 6 S,20190713,,,,,,,,,-243.3600000000,0.2318600000,0.0000114530,
1691,AK Port Alsworth 1 SW,20090925,-243.17,0.2315700000,0.0000115650,,-243.6900000000,0.2326300000,0.0000110380,,-243.6300000000,0.2324000000,0.0000112750,
1691,AK Port Alsworth 1 SW,20100821,-243.77,0.2328400000,0.0000109310,,,,,,,,,
