1366,AL Muscle Shoals 2 N,20070425,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR1000
1632,AL Northport 2 S,20090521,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR1000
1632,AL Northport 2 S,20100126,,,,CR3000
1297,AL Russellville 4 SSE,20060815,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR1000
1296,AL Scottsboro 2 NE,20060815,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR1000
1296,AL Scottsboro 2 NE,20080808,,,,CR3000
1122,AL Selma 13 WNW,20050526,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1122,AL Selma 13 WNW,20090424,,,,CR3000
1329,AL Selma 6 SSE,20070315,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR1000
1631,AL Talladega 10 NNE,20081203,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR1000
1551,AL Thomasville 2 S,20080118,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR1000
1552,AL Troy 2 W,20080116,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR1000
1266,AL Valley Head 1 SSW,20060504,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR1000
1129,AR Batesville 8 WNW,20061220,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1129,AR Batesville 8 WNW,20090625,,,,CR3000
1726,AZ Ajo 29 S,20100928,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1734,AZ Amado 23 W,20100926,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1671,AZ Bowie 23 SSE,20100228,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1705,AZ Cameron 25 SSE,20091215,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1694,AZ Camp Verde 3 N,20100303,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1706,AZ Coolidge 5 W,20100228,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1010,AZ Elgin 5 S,20020914,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1010,AZ Elgin 5 S,20030617,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,
1010,AZ Elgin 5 S,20100210,,,,CR3000
1782,AZ Fredonia 7 SSE,20110926,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1756,AZ Gila Bend 3 ENE,20100925,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1702,AZ Heber 3 SE,20091217,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1652,AZ Holbrook 17 ESE,20090711,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1727,AZ Kayenta 16 WSW,20100819,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1775,AZ Kingman 8 NE,20110927,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1737,AZ Lake Havasu City 19 SE,20100923,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1783,AZ Meadview 7 N,20110929,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1710,AZ Page 9 WSW,20100804,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1661,AZ Phoenix 7 S,20100301,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1774,AZ Safford 5 NNE,20110623,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1741,AZ Tsaile 1 SSW,20100818,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1011,AZ Tucson 11 W,20020918,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1011,AZ Tucson 11 W,20030113,,,,CR23X
1011,AZ Tucson 11 W,20100209,,,,CR3000
1750,AZ Whiteriver A 1 SW,20110622,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1613,AZ Williams 35 NNW,20080626,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1613,AZ Williams 35 NNW,20100419,,,,CR3000
1590,AZ Yuma 27 ENE,20080319,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1590,AZ Yuma 27 ENE,20100208,,,,CR3000
1531,CA Bodega 6 WSW,20080614,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1531,CA Bodega 6 WSW,20101022,,,,CR3000
1528,CA Fallbrook 5 NE,20080502,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1528,CA Fallbrook 5 NE,20100208,,,,CR3000
1050,CA Merced 23 WSW,20040325,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1050,CA Merced 23 WSW,20101026,,,,CR3000
1015,CA Redding 12 WNW,20030325,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1015,CA Redding 12 WNW,20031203,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,
1015,CA Redding 12 WNW,20101020,,,,CR3000
1529,CA Santa Barbara 11 W,20080814,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1105,CA Stovepipe Wells 1 SW,20040505,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1105,CA Stovepipe Wells 1 SW,20100204,,,,CR3000
1508,CA Yosemite Village 12 W,20070929,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1508,CA Yosemite Village 12 W,20101024,,,,CR3000
1657,CO Akron A 4 E,20090615,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1045,CO Boulder 14 W,20030927,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1045,CO Boulder 14 W,20080817,,,,CR3000
